objectid,identifier,filename,title,Creator ,Illustrator,Translator,description,Date,location,Address (from item),Latitude,Longitude,subject-eng,tags-eng,Language,source,type,format,right,rightsstatement
latchbo0001,,latchbo0001.jpg,A Bean and Cheese Taco Birthday,Diane Gonzales Bertrand,Robert Trujillo,Gabriela Baeza Ventura,"Darío's, five-year-old brother, Ariel wants to celebrate his birthday with his family at the park and eat bean and cheese tacos.",2015,"San Antonio, Texas",,29.43045738,-98.50924795,Birthdays--Fiction; Parties--Fiction; Brothers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Brothers; Birthdays; Birthday Party; Tacos; Bean and Cheese; Park,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0002,,latchbo0002.jpg,A Charmed Life,Gladys E. Barbieri,Lisa Fields,Carolina E. Alonso,Felicia goes with her mother to the house where she works as a cleaning lady; as her mother is working Felicia bonds with the Mrs. Fitzpatrick who gives her a charmed bracelet.,2016,"Los Angeles, CA",,34.0507663,-118.2648393,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Immigrants; Immigrant experience; Charm Bracelet; Swings; Differences; ,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0003,,latchbo0003.jpg,A Day with My Aunts,Anilú Bernardo,Christina Rodriguez,,"Isabel looks forward to spending Saturdays with her aunts cooking, dancing and playing dress up. Includes recipe.",2006,"Plantation, FL",,26.12908759,-80.24116463,Aunts--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Family; Aunts; Traditional cooking; Empanadas; Cuban; Picadillo; Dress up;Singing; Dancing,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0004,,latchbo0004.jpg,A Day Without Sugar,Diane de Anda,Janet Montecalvo,Gabriela Baeza Ventura,"Because ten-year-old Tito is at risk of developing diabetes like some his relatives , Tía SofÍa spends a day teaching him and his cousins about healthy, low-sugar or sugar-free treats.",2012,"Los Angeles, CA",,34.0507663,-118.2648393,Food habits--Fiction; Aunts--Fiction; Cousins--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Family; Diabetes; Lifestyle changes; Sugar; Healthy Eating,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0005,,latchbo0005.jpg,A Suprise for Teresita,Virginia Sánchez-Korrol,Carolyn Dee Flores,Gabriela Baeza Ventura,Teresita waits for the sounds of Tío Rámon's snow cone cart on her birthday as she awaits her suprise from him. ,2016,"Brooklyn, New York",,40.67672762,-73.9453437,Birthdays--Fiction; Suprises--Fiction; Hispanic American--Fiction; Spanish language materials--Fiction,Snow cones; Vendor; Birthday; Suprise; Kitten; Kittens; Puerto Rico; Puerto Rican; Community; Neighborhood; Patience; Gift,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0006,,latchbo0006.jpg,A Train Called Hope,Mario Bencastro,Roberto Casilla,,This bilingual picture book contrasts a boy's enjoyment of his childhood toy train with his dangerous journey north crowded on a real train in seach of  family and a better future.,2021,"Ahuachapan, El Salvador",,13.92656524,-89.83911183,"Railroad trains--Juvenile poetry; Emigration and immigration--Juvenile poetry; Children's poetry, Salvadoran; Railraod trains--poetry; Emigration and immigration--Poetry; Salvadoran poetry; Spanish language materials--Bilingual",Trains; Immigration; Poetry; El Salvador; Children; Borders; Separated Families,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0007,,latchbo0007.jpg,Adelita and the Veggie Cousins,Diane Gonzales Bertrand,Christina Rodriguez,Gabriela Baeza Ventura,"On her first day at a new school, Adelita makes new friends through a lesson on vegetables, including how some vegetables are ""cousins"" because they share certain characters.",2011,"San Antonio, Texas",,29.43045738,-98.50924795,Vegetables--Fiction; First day of school--Fiction; Schools--Fiction; Spanish language materials--Bilingual,"New School; New Friends; Vegetables; Squash; Reference to Sip, Slurp, Soup, Soup / Caldo, caldo, caldo; Soup Recipe",Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0008,,latchbo0008.jpg,Alicia's Fruity Drinks,Lupe Ruiz-Flores,Laura Lacámara,Gabriela Baeza Ventura,"After enjoying a blended fruit drink called aguas frescas during a festival celebrating Mexico's independence, seven-year-old Alicia and her mother make their own at home, then invite Alicia's soccer team over to try them.",2012,"San Antonio, Texas",,29.43045738,-98.50924795,Fruit juices--Ficition; Diabetes--Fiction; Spanish language materials--Bilingual,Fruity Drinks; Festival; Fruit; Diabetes; Soccer; Healthy habits; Mothers and daughters,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0009,,latchbo0009.jpg,Baseball on Mars,"Rafael Rivera, Jr. and Tim Hoppey",Christina Rodriguez,Gabriela Baeza Ventura,"After ""traveling to Mars"" in Roberto's homemade spaceship, Roberto and his father play a game of catch.",2009,"Bronx, NY",,40.84565752,-73.85947624,Imagination--Fiction; Fathers and sons--Fiction; Space vehicles--Fiction; Puerto Ricans--Fiction; Spanish language materials--Bilingual,Imagination; Mars; Rocket Ship; Father and son; Baseball;,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,
latchbo0010,,latchbo0010.jpg,Benito's Bizcochitos,Ana Baca,Anthony Accardo,Julia Mercedes Castilla,"As they prepare to make the traditional Christmas cookies known as bizcochitos, Cristina's grandmother tells her the story of how a magical butterfly first introduced these sweet treats to her great-grandfather, a sheperd in the hills of New Mexico.",1999,"Albuquerque, NM",,35.08423731,-106.6414756,Mexican American--Juvenile fiction; Mexican Americans--Fiction; Cookies--Fiction; Christmas--Fiction; Spanish language materials--Bilingual,Bizcochitos; Cookies; Family history; Storytelling; Grandmothers; Snow; Butterflies,Bilingual,,Image;StillImage,image/jpeg,Arte Público Press,